지점코드,버스정류소명,설치일,아이디,크기,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,일일 이용자수 합계(평균),승차총승객수,하차총승객수,승차총승객수 일일 평균,하차총승객수 일일 평균,버스승객수 일일 평균,승객 1인 대비 쉼터 이용률
S_0042_SJ00,군자교남단,2022-05-20,04216,소형,0,0,0,0,27,51,95,164,233,241,222,191,270,294,195,210,203,199,165,147,95,58,37,25,3122,75573,93671,207.04931506849314,256.63287671232877,463.68219178082194,6.733059960766703
S_0040_HD02,논골신협대림아파트후문,2022-05-20,04560,소형,0,0,0,0,5,39,91,167,329,317,254,326,355,370,379,316,385,262,271,166,109,99,59,40,4339,86350,127326,236.57534246575344,348.8383561643836,585.413698630137,7.41185252438271
S_0037_SS12,뚝섬역 2번출구,2022-05-20,04237,소형,0,0,0,0,12,16,34,40,62,49,66,63,145,136,161,144,137,165,146,127,99,79,77,51,1809,128403,54475,351.7890410958904,149.24657534246575,501.03561643835616,3.610521768610768
S_0019_SS23,뚝섬역3번5번출구(성수역),2020-12-18,04238,중형,1,1,1,41,1437,302,962,2077,3569,3161,3252,3127,4204,4553,5179,5867,5690,5527,6712,4713,3956,3833,3131,1541,72837,139795,96655,383.0,264.8082191780822,647.8082191780821,112.43605413406641
S_0038_SS12,뚝섬역 4번출구,2022-05-20,04239,소형,1,0,0,0,17,21,18,104,161,207,233,314,356,409,346,413,434,487,510,346,178,167,160,82,4964,114677,123837,314.1835616438356,339.27945205479455,653.4630136986301,7.5964513613456655
S_0034_MJ00,마장역,2022-05-20,04117,소형,0,0,0,1,17,54,157,304,341,402,494,601,781,697,621,718,658,725,785,623,423,392,204,144,9142,161890,70431,443.5342465753425,192.96164383561643,636.4958904109589,14.3630149663612
S_0013_MJ00,마장축산물시장(도선사거리),2020-12-18,04120,중형,31,12,13,17,4035,4319,3385,5629,7194,6968,7151,7948,8151,8139,7401,7998,8417,8232,8026,5681,9876,8358,2737,934,130652,389573,440142,1067.323287671233,1205.868493150685,2273.1917808219177,57.475133027605864
S_0012_MJ00,마장축산물시장(동대문구청.용두역3번출구),2020-12-18,04119,중형,29,85,79,0,230,1253,2672,4662,8618,6956,7101,8053,9842,10667,11883,12770,12314,12161,10766,6401,4339,3977,2933,1178,138969,393453,301505,1077.9534246575342,826.0410958904109,1903.9945205479453,72.98813021794122
S_0011_HD02,무학여고(행당신동아.행당푸르지오아파트),2020-12-18,04132,중형,110,57,52,51,8055,6362,6792,10510,10393,9408,9849,9231,10787,10606,9608,10462,11772,10099,9347,6245,5181,5564,4688,2176,167405,602886,541185,1651.7424657534248,1482.6986301369864,3134.441095890411,53.40824564209739
S_0039_GH01,삼성래미안아파트앞,2022-05-20,04160,소형,0,0,0,0,56,59,128,364,392,407,412,434,453,484,507,560,509,428,401,277,171,105,139,45,6331,109925,184723,301.16438356164383,506.0904109589041,807.254794520548,7.842629171078711
