일일 이용자수 합계(평균),승객 1인 대비 쉼터 이용률,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,승차총승객수,하차총승객수,승차총승객수 일일 평균,하차총승객수 일일 평균,버스승객수 일일 평균,정류소타입,크기,크기,정류소타입
3122,6.733059961,0,0,0,27,51,95,164,233,241,222,191,270,294,195,210,203,199,165,147,95,58,37,25,75573,93671,207.0493151,256.6328767,463.6821918,0,1,소형,일반차로
4339,7.411852524,0,0,0,5,39,91,167,329,317,254,326,355,370,379,316,385,262,271,166,109,99,59,40,86350,127326,236.5753425,348.8383562,585.4136986,0,1,소형,일반차로
1809,3.610521769,0,0,0,12,16,34,40,62,49,66,63,145,136,161,144,137,165,146,127,99,79,77,51,128403,54475,351.7890411,149.2465753,501.0356164,0,1,소형,일반차로
72837,112.4360541,1,1,41,1437,302,962,2077,3569,3161,3252,3127,4204,4553,5179,5867,5690,5527,6712,4713,3956,3833,3131,1541,139795,96655,383,264.8082192,647.8082192,0,0,중형,일반차로
4964,7.596451361,0,0,0,17,21,18,104,161,207,233,314,356,409,346,413,434,487,510,346,178,167,160,82,114677,123837,314.1835616,339.2794521,653.4630137,0,1,소형,일반차로
9142,14.36301497,0,0,1,17,54,157,304,341,402,494,601,781,697,621,718,658,725,785,623,423,392,204,144,161890,70431,443.5342466,192.9616438,636.4958904,0,1,소형,일반차로
130652,57.47513303,12,13,17,4035,4319,3385,5629,7194,6968,7151,7948,8151,8139,7401,7998,8417,8232,8026,5681,9876,8358,2737,934,389573,440142,1067.323288,1205.868493,2273.191781,1,0,중형,가로변전일
138969,72.98813022,85,79,0,230,1253,2672,4662,8618,6956,7101,8053,9842,10667,11883,12770,12314,12161,10766,6401,4339,3977,2933,1178,393453,301505,1077.953425,826.0410959,1903.994521,1,0,중형,가로변전일
167405,53.40824564,57,52,51,8055,6362,6792,10510,10393,9408,9849,9231,10787,10606,9608,10462,11772,10099,9347,6245,5181,5564,4688,2176,602886,541185,1651.742466,1482.69863,3134.441096,0,0,중형,일반차로
6331,7.842629171,0,0,0,56,59,128,364,392,407,412,434,453,484,507,560,509,428,401,277,171,105,139,45,109925,184723,301.1643836,506.090411,807.2547945,0,1,소형,일반차로
119902,128.7618753,2,1,12,493,1601,2297,5871,8033,5497,6092,6788,7864,8242,8486,8874,8559,8542,8854,6750,5227,5518,4288,2004,199186,140699,545.7150685,385.4767123,931.1917808,0,0,중형,일반차로
150224,48.31720021,1,0,8,4019,5162,3533,6313,8485,7328,7321,8162,8913,9024,9139,9733,9840,10333,10810,8948,7274,7248,5450,3160,393900,740929,1079.178082,2029.942466,3109.120548,1,0,중형,가로변전일
2998,6.627440767,0,0,0,2,31,29,63,118,138,139,176,155,258,241,291,311,283,333,146,78,88,64,53,82944,82168,227.2438356,225.1178082,452.3616438,0,1,소형,일반차로
7575,7.932506097,0,0,2,34,22,42,103,222,393,302,404,410,547,591,694,729,704,734,559,398,322,247,116,188354,160196,516.0383562,438.8931507,954.9315068,0,1,소형,일반차로
108377,96.28399413,18,16,28,498,1083,1574,3722,7192,5716,4322,5242,6830,7665,8061,9777,9919,10115,9127,5473,3917,4013,2832,1202,253841,157002,695.4547945,430.1424658,1125.59726,0,0,중형,일반차로
60757,87.25126492,0,0,11,1070,892,1162,1341,1494,1536,2021,2927,3132,3312,4197,4850,5546,5652,6741,4597,3617,3478,2404,772,152532,101634,417.8958904,278.4493151,696.3452055,0,0,중형,일반차로
3885,16.56184303,0,0,1,10,21,33,69,189,169,246,281,273,311,298,304,448,463,324,150,109,81,87,18,44710,40910,122.4931507,112.0821918,234.5753425,1,1,소형,마을버스
55516,57.08256452,0,0,0,178,307,742,1111,1712,1792,2008,2407,3302,3777,4530,5358,5741,5268,5441,3649,3314,2678,1508,693,103628,251355,283.9123288,688.6438356,972.5561644,0,0,중형,일반차로
6393,16.6942944,0,0,0,58,33,61,142,405,278,473,608,531,400,457,563,490,422,313,316,384,152,252,55,65969,73806,180.7369863,202.2082192,382.9452055,0,1,소형,일반차로
5898,9.425437828,0,0,0,10,44,107,182,267,349,400,519,443,503,403,542,684,563,335,171,141,133,70,32,125111,103289,342.769863,282.9835616,625.7534247,1,1,소형,마을버스
96901,75.14338677,1,0,3,2111,1652,2885,5866,7485,5747,5936,5806,5671,5881,6484,6640,6216,8035,7900,4521,2826,2522,1969,742,340134,130551,931.8739726,357.6739726,1289.547945,0,0,중형,일반차로
9609,28.99924759,0,0,1,36,74,68,119,324,351,387,549,603,737,747,907,1103,897,946,616,412,365,274,91,66168,54776,181.2821918,150.0712329,331.3534247,0,1,소형,일반차로
63873,134.8958496,1,14,3,124,311,544,1240,1778,2120,2643,3257,4079,4257,5706,5936,6429,5535,5405,4224,3890,3361,2152,856,55776,117051,152.8109589,320.6876712,473.4986301,0,0,중형,일반차로
94421,149.2237165,0,1,0,1490,3022,3911,6206,7611,6395,5803,6131,6549,6788,5725,5590,5825,5204,4680,3909,3186,2869,2319,1203,141146,89807,386.7013699,246.0465753,632.7479452,0,0,중형,일반차로
86330,120.2785338,2,0,0,138,925,2190,4503,7075,6113,4964,4425,4874,5221,6455,6047,6103,5677,5634,4760,3761,3543,2543,1370,138241,123738,378.7424658,339.0082192,717.7506849,0,0,중형,일반차로
6551,7.36663822,0,0,1,5,25,81,213,316,328,202,256,316,308,365,539,590,630,759,535,241,299,325,217,185802,138785,509.0465753,380.2328767,889.2794521,0,1,소형,일반차로
66692,70.11152138,1,0,1,890,1234,1388,4682,5033,4805,4150,3954,4007,4361,4851,4441,4701,4472,3646,2810,2613,2218,1630,801,170687,176511,467.6356164,483.5917808,951.2273973,0,0,중형,일반차로
176784,76.27692548,37,24,29,351,496,3024,5321,9270,7430,7617,9516,11088,12498,13437,15054,15869,14819,12671,9168,7680,8217,8296,4632,527354,318592,1444.805479,872.8547945,2317.660274,0,0,중형,일반차로
58455,42.66097283,0,0,14,1056,999,1415,2789,4333,3781,3549,3809,4220,4046,4121,3874,3754,3867,3670,2619,2106,1889,1778,761,175852,324279,481.7863014,888.4356164,1370.221918,1,0,중형,가로변시간
130178,127.381539,2,0,9,445,826,2672,4824,8050,6071,5073,5556,7293,6937,7439,7931,8943,10272,11819,9905,6820,8325,7398,3548,261394,111619,716.1479452,305.8054795,1021.953425,0,0,중형,일반차로
92095,190.0605271,7,13,5,97,1403,1832,6457,9291,7424,6577,6289,5887,7115,5998,6735,5984,5577,4842,3019,2918,2040,1749,811,89554,87309,245.3534247,239.2027397,484.5561644,0,0,중형,일반차로
113814,47.29772256,0,0,109,1174,4479,3158,7436,9488,6825,5814,5484,6335,6968,6587,7683,7491,7319,7142,5161,4262,4926,4168,1800,422456,455855,1157.413699,1248.917808,2406.331507,0,0,중형,일반차로
30674,30.70184194,0,1,0,186,348,449,1605,3127,2669,2485,2134,2244,2342,2169,2482,2406,1749,1352,876,764,682,424,180,141928,222741,388.8438356,610.2493151,999.0931507,0,0,중형,일반차로
30600,79.16279795,173,198,184,19,275,891,1420,1938,2791,2445,2140,2531,2448,2100,2368,2203,1825,1445,957,809,694,447,236,74518,66571,204.1589041,182.3863014,386.5452055,1,0,중형,마을버스
2385,6.717428545,0,0,0,3,13,11,63,73,121,128,129,234,201,190,298,202,181,183,102,67,87,88,11,62091,67501,170.1123288,184.9342466,355.0465753,0,1,소형,일반차로
79384,50.73845717,8,9,26,1669,1220,1621,2159,4399,3390,4280,5223,6185,6655,6550,6225,5716,5193,4384,4067,3146,2987,2559,1690,244964,326105,671.1342466,893.4383562,1564.572603,0,0,중형,일반차로
3785,8.301136842,0,0,1,24,59,33,85,75,101,152,172,257,297,270,294,390,466,342,236,146,174,121,90,91306,75120,250.1534247,205.8082192,455.9616438,0,1,소형,일반차로
122226,68.28707134,3,3,5,1275,2198,3027,4036,5675,5341,5362,6193,7254,7590,8458,9400,10346,10294,9874,7071,5582,5816,5069,2338,258628,394680,708.569863,1081.315068,1789.884932,1,0,중형,가로변전일
100484,59.89747258,2,0,3,555,2583,2702,6349,8789,7615,5092,5536,6282,6317,6229,6730,7236,7716,7759,4736,2933,2596,1863,852,366901,245423,1005.208219,672.3917808,1677.6,0,0,중형,일반차로
10810,12.64526033,0,0,0,86,150,148,378,613,888,613,738,735,822,753,839,841,887,758,425,405,286,341,104,181128,130898,496.2410959,358.6246575,854.8657534,0,1,소형,일반차로
