노선번호,총 배차간격
17,12.28571429
1,8.571428571
411,14.57142857
100,10.28571429
101,11.14285714
101,11.14285714
1017,15
102,11.28571429
102,11.28571429
1020,10
103,9.285714286
104,9.285714286
105,12.14285714
106,15
107,13.42857143
109,11.71428571
1111,8
1111,8
1113,15.85714286
1115,14.14285714
1115,14.14285714
1116,18.57142857
1119,7.285714286
1120,16.71428571
1122,8.571428571
1124,16.42857143
1126,8.714285714
1127,14
1128,12
1129,25
1131,19
1131,19
1132,8.571428571
1135,10.85714286
1136,14.57142857
1137,11.57142857
1138,23
1139,12
1140,21.42857143
1140,21.42857143
1141,18.57142857
1141,18.57142857
1142,8.571428571
1143,19.57142857
1143,19.57142857
1143,19.57142857
1144,16.14285714
1154,15.42857143
1155,12.85714286
1162,10.57142857
1162,10.57142857
1164,7.142857143
1165,8.285714286
1165,8.285714286
1167,12.14285714
120,7.571428571
1213,13
1213,13
1218,11.42857143
1221,58.71428571
1222,10.28571429
1224,8.285714286
1224,8.285714286
1226,41
1227,14.28571429
140,8.142857143
141,10.71428571
142,9.285714286
143,7.857142857
145,9.857142857
146,8.714285714
146,8.714285714
147,9.428571429
148,8.857142857
150,9
151,9
152,8.142857143
163,7.857142857
171,9.857142857
1711,7.857142857
172,10.14285714
173,11.71428571
201,18.42857143
2012,12.14285714
2013,13.57142857
2015,9
2016,11.85714286
202,8.857142857
2112,14.71428571
2113,11
2115,8.571428571
2115,8.571428571
2211,7
2212,19.42857143
2221,14
2222,15.71428571
2227,10.85714286
2227,10.85714286
2230,8.857142857
2233,15.14285714
2236,13.42857143
2311,12.28571429
2312,16.85714286
2312,16.85714286
240,14.14285714
241,10.14285714
2412,13.14285714
2415,16
242,14.57142857
260,9.714285714
261,10.57142857
262,9.428571429
262,9.428571429
270,10.42857143
271,7.142857143
272,7.142857143
273,7.428571429
301,7.428571429
3011,11.71428571
3011,11.71428571
302,11.14285714
303,9.571428571
320,9.428571429
3212,13.85714286
3214,13
3216,14.42857143
3217,9.714285714
3220,17.71428571
3313,9.142857143
3313,9.142857143
3314,11
3315,7.285714286
3316,12
3317,8.571428571
3318,13
3318,13
3319,14.85714286
3321,14.71428571
3321,14.71428571
3322,11.57142857
3323,16.42857143
333,12.57142857
340,7.857142857
341,14.28571429
3411,11.57142857
3412,14.71428571
3413,9.857142857
3414,14.42857143
3416,11.42857143
3417,7.428571429
342,9.857142857
3420,12.42857143
3420,12.42857143
3422,17.14285714
3426,11.28571429
343,13.71428571
345,11.57142857
350,12.57142857
360,7.142857143
361,11.42857143
370,6.714285714
370,6.714285714
400,13.28571429
401,11
402,10.71428571
405,15.71428571
420,7.428571429
421,10.42857143
4211,13.42857143
4212,8.571428571
4318,7.285714286
4319,14.71428571
4319,14.71428571
440,12.28571429
441,10.42857143
4425,13
4425,13
4432,10
4433,9.714285714
4435,15.28571429
452,12.14285714
461,12.28571429
470,10.71428571
472,7.857142857
501,7.857142857
5012,12.85714286
502,11.42857143
503,14.85714286
504,7.857142857
505,12.14285714
506,14.14285714
540,14.42857143
541,16.28571429
5413,8.142857143
542,22.85714286
5511,8.428571429
5515,9.142857143
5515,9.142857143
5516,8.571428571
5517,13.28571429
5519,14.57142857
5522A난곡,13
5522B호암,13.85714286
5522B호암,13.85714286
5523,14.28571429
5524,8.571428571
5525,18.42857143
5528,13.42857143
5530,12.28571429
5531,8.571428571
5535,8.714285714
5536,9.714285714
5537,15.85714286
5611,18.14285714
5615,11.14285714
5616,16.71428571
5617,10.28571429
5618,12.14285714
