지점코드,버스정류소명,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
S_0042_SJ00,군자교남단,0,0,0,0,27,51,95,164,233,241,222,191,270,294,195,210,203,199,165,147,95,58,37,25
S_0003_GH23,금호역,10,4,0,0,1781,2011,3793,5958,8576,6799,4773,3582,3879,4445,3911,3576,3199,3168,2591,2252,1901,2024,1492,699
S_0031_GH04,금호역,0,0,0,0,0,27,56,52,137,165,161,177,610,370,250,242,285,338,295,197,98,80,74,39
S_0035_GH04,금호역,0,0,0,0,13,113,140,257,404,374,367,383,558,461,485,447,444,359,406,213,129,108,110,51
S_0040_HD02,논골신협대림아파트후문,0,0,0,0,5,39,91,167,329,317,254,326,355,370,379,316,385,262,271,166,109,99,59,40
S_0037_SS12,뚝섬역 2번출구,0,0,0,0,12,16,34,40,62,49,66,63,145,136,161,144,137,165,146,127,99,79,77,51
S_0019_SS23,뚝섬역3번5번출구(성수역),1,1,1,41,1437,302,962,2077,3569,3161,3252,3127,4204,4553,5179,5867,5690,5527,6712,4713,3956,3833,3131,1541
S_0038_SS12,뚝섬역 4번출구,1,0,0,0,17,21,18,104,161,207,233,314,356,409,346,413,434,487,510,346,178,167,160,82
S_0034_MJ00,마장역,0,0,0,1,17,54,157,304,341,402,494,601,781,697,621,718,658,725,785,623,423,392,204,144
S_0013_MJ00,마장축산물시장(도선사거리),31,12,13,17,4035,4319,3385,5629,7194,6968,7151,7948,8151,8139,7401,7998,8417,8232,8026,5681,9876,8358,2737,934
S_0012_MJ00,마장축산물시장(동대문구청.용두역3번출구),29,85,79,0,230,1253,2672,4662,8618,6956,7101,8053,9842,10667,11883,12770,12314,12161,10766,6401,4339,3977,2933,1178
S_0011_HD02,무학여고(행당신동아.행당푸르지오아파트),110,57,52,51,8055,6362,6792,10510,10393,9408,9849,9231,10787,10606,9608,10462,11772,10099,9347,6245,5181,5564,4688,2176
S_0039_GH01,삼성래미안아파트앞,0,0,0,0,56,59,128,364,392,407,412,434,453,484,507,560,509,428,401,277,171,105,139,45
S_0018_YS02,상왕십리역(왕십리2동주민센터),7,2,1,12,493,1601,2297,5871,8033,5497,6092,6788,7864,8242,8486,8874,8559,8542,8854,6750,5227,5518,4288,2004
S_0010_DS00,상왕십리역(왕십리센트라스아파트),20,1,0,8,4019,5162,3533,6313,8485,7328,7321,8162,8913,9024,9139,9733,9840,10333,10810,8948,7274,7248,5450,3160
S_0041_SS12,상원,1,0,0,0,2,31,29,63,118,138,139,176,155,258,241,291,311,283,333,146,78,88,64,53
S_0030_SS11,서울숲(뚝도아리수정수센터방면),0,0,0,2,34,22,42,103,222,393,302,404,410,547,591,694,729,704,734,559,398,322,247,116
S_0016_SS12,서울숲(성동구민종합체육센터),35,18,16,28,498,1083,1574,3722,7192,5716,4322,5242,6830,7665,8061,9777,9919,10115,9127,5473,3917,4013,2832,1202
S_0022_SS12,성동교남단(한양대정문앞),5,0,0,11,1070,892,1162,1341,1494,1536,2021,2927,3132,3312,4197,4850,5546,5652,6741,4597,3617,3478,2404,772
S_0047_MJ00,성동구도시관리공단,0,0,0,1,10,21,33,69,189,169,246,281,273,311,298,304,448,463,324,150,109,81,87,18
